CALCULO 2A                             ; QUIMICA BACHARELADO       ; 246M23 ; SAMAMBAIA
CALCULO 2A                             ; CIENCIA DA COMPUTACAO     ; 246M45 ; SAMAMBAIA
ESTATISTICA II                         ; GESTAO DA INFORMACAO      ; 246M23 ; SAMAMBAIA
ESTATISTICA                            ; CIENCIAS CONTABEIS        ; 46M45  ; SAMAMBAIA
CALCULO 1A                             ; ENGENHARIA QUIMICA        ; 246M23 ; SAMAMBAIA
CALCULO NUMERICO                       ; CIENCIA DA COMPUTACAO     ; 24M45  ; SAMAMBAIA
ALGEBRA LINEAR                         ; CIENCIAS ECONOMICAS       ; 24M23  ; SAMAMBAIA
ALGEBRA LINEAR                         ; CIENCIA DA COMPUTACAO     ; 24M45  ; SAMAMBAIA
CALCULO NUMERICO                       ; ENGENHARIA QUIMICA        ; 24M23  ; SAMAMBAIA
PROBABILIDADE E ESTATISTICA            ; RELACOES INTERNACIONAIS   ; 24M23  ; SAMAMBAIA
INTRODUCAO A ESTATISTICA               ; RELACOES PUBLICAS         ; 24M45  ; SAMAMBAIA
PROBABILIDADE E ESTATISTICA A          ; CIENCIA DA COMPUTACAO     ; 24M23  ; SAMAMBAIA
PROBABILIDADE E ESTATISTICA A          ; INTELIGENCIA ARTIFICIAL   ; 24M45  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; ENGENHARIA QUIMICA        ; 35M23  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; CIENCIA DA COMPUTACAO     ; 35M45  ; SAMAMBAIA
ESTATISTICA                            ; QUIMICA BACHARELADO       ; 35M23  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; ENGENHARIA DE MATERIAIS   ; 35M23  ; SAMAMBAIA
CALCULO 3A                             ; ENGENHARIA DE ALIMENTOS   ; 35M23  ; SAMAMBAIA
CALCULO NUMERICO                       ; ENGENHARIA DE MATERIAIS   ; 35M45  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; CIENCIA DA COMPUTACAO     ; 46M23  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; ENGENHARIA DE ALIMENTOS   ; 46M45  ; SAMAMBAIA
CALCULO 1B                             ; CIENCIAS ECONOMICAS       ; 46M23  ; SAMAMBAIA
CALCULO 1B                             ; ENGENHARIA FLORESTAL      ; 46M45  ; SAMAMBAIA
CALCULO 1B                             ; QUIMICA LICENCIATURA      ; 46M23  ; SAMAMBAIA
CALCULO 1C                             ; FARMACIA                  ; 46M45  ; SAMAMBAIA
CALCULO 2B                             ; QUIMICA LICENCIATURA      ; 46M23  ; SAMAMBAIA
ESTATISTICA                            ; COMUNICACAO SOCIAL        ; 46M45  ; SAMAMBAIA
CALCULO DIFERENCIAL                    ; ESTATISTICA               ; 246T12 ; SAMAMBAIA
CALCULO 1A                             ; ENGENHARIA MECANICA       ; 246T34 ; SAMAMBAIA
CALCULO 1A                             ; INSTITUTO DE FISICA       ; 246T56 ; SAMAMBAIA
ANALISE REAL                           ; MATEMATICA                ; 246T34 ; SAMAMBAIA
CALCULO 1A                             ; INSTITUTO DE FISICA       ; 246T56 ; SAMAMBAIA
CALCULO 1C                             ; ZOOTECNIA                 ; 24T23  ; SAMAMBAIA
