samambaia ; ciencias economicas      ; calculo 1b                             ; 35n23
samambaia ; ciencias economicas      ; calculo 1b                             ; 46m23
samambaia ; comunicacao social       ; estatistica                            ; 46m45
samambaia ; engenharia de alimentos  ; calculo 1a                             ; 246m23
samambaia ; engenharia de alimentos  ; calculo 3a                             ; 35t45
samambaia ; engenharia de alimentos  ; edo                                    ; 35t23
samambaia ; engenharia de alimentos  ; geometria analitica                    ; 46m45
samambaia ; engenharia de materiais  ; calculo numerico                       ; 35m45
samambaia ; engenharia de materiais  ; geometria analitica                    ; 35t34
samambaia ; engenharia florestal     ; calculo 1b                             ; 46m45
samambaia ; engenharia mecanica      ; calculo 1a                             ; 246t34
samambaia ; engenharia mecanica      ; calculo 3a                             ; 24t34
samambaia ; engenharia mecanica      ; edo                                    ; 24t56
samambaia ; engenharia mecanica      ; geometria analitica                    ; 35t12
samambaia ; engenharia quimica       ; calculo 1a                             ; 246m23
samambaia ; engenharia quimica       ; calculo 3a                             ; 35t23
samambaia ; engenharia quimica       ; calculo numerico                       ; 24m23
samambaia ; engenharia quimica       ; edo                                    ; 24m23
samambaia ; engenharia quimica       ; geometria analitica                    ; 35m23
samambaia ; farmacia                 ; calculo 1c                             ; 46m45
samambaia ; gestao da informacao     ; estatistica ii                         ; 246m23
samambaia ; instituto de fisica      ; calculo 1a                             ; 246m23
samambaia ; instituto de fisica      ; calculo 1a                             ; 246m45
samambaia ; instituto de fisica      ; calculo 2a                             ; 246n23
samambaia ; instituto de fisica      ; calculo 3a                             ; 24t12
samambaia ; instituto de fisica      ; calculo numerico                       ; 35t56
samambaia ; instituto de fisica      ; edo                                    ; 24t34
samambaia ; instituto de fisica      ; geometria analitica                    ; 35n45
samambaia ; instituto de fisica      ; geometria analitica                    ; 46m45
samambaia ; instituto de fisica      ; probabilidade e estatistica a          ; 24t56
samambaia ; inteligencia artificial  ; probabilidade e estatistica a          ; 24m45
samambaia ; quimica bacharelado      ; algebra linear                         ; 46m45
samambaia ; quimica bacharelado      ; calculo 1a                             ; 246m23
samambaia ; quimica bacharelado      ; calculo 2a                             ; 246m23
samambaia ; quimica bacharelado      ; estatistica                            ; 35m23
samambaia ; quimica licenciatura     ; calculo 1b                             ; 35n45
samambaia ; quimica licenciatura     ; calculo 1b                             ; 46m23
samambaia ; quimica licenciatura     ; calculo 2b                             ; 46m23
samambaia ; relacoes internacionais  ; probabilidade e estatistica            ; 24m23
samambaia ; relacoes publicas        ; introducao a estatistica               ; 46m23
samambaia ; sistemas de informacao   ; calculo 1a                             ; 246n45
samambaia ; zootecnia                ; calculo 1c                             ; 24t23
